Date,Open,High,Low,Close,Volume
03/07/2025,"625.37","634.79","600.61","625.66","21,375,670"
03/06/2025,"648.00","650.56","624.11","627.93","13,446,450"
03/05/2025,"641.00","659.50","637.66","656.47","13,770,030"
03/04/2025,"645.51","649.75","623.65","640.00","21,495,211"
03/03/2025,"673.68","681.25","650.84","655.05","10,843,760"
02/28/2025,"658.04","669.63","642.60","668.20","17,534,170"
02/27/2025,"682.45","688.65","657.57","658.24","12,500,010"
02/26/2025,"659.65","683.01","658.00","673.70","14,488,710"
02/25/2025,"665.97","668.00","641.86","657.50","20,579,660"
02/24/2025,"686.28","687.27","662.45","668.13","15,676,990"
02/21/2025,"696.58","703.87","682.36","683.55","15,660,360"
02/20/2025,"697.28","705.63","693.64","694.84","12,587,410"
02/19/2025,"704.10","707.00","695.39","703.77","17,535,480"
02/18/2025,"736.00","737.00","706.44","716.37","21,938,699"
02/14/2025,"726.14","740.91","725.62","736.67","16,901,250"
02/13/2025,"721.52","729.00","718.04","728.56","12,569,060"
02/12/2025,"715.30","727.10","712.60","725.38","12,016,520"
02/11/2025,"713.32","723.66","710.04","719.80","12,997,960"
02/10/2025,"718.56","721.20","711.33","717.40","12,904,320"
02/07/2025,"716.80","725.01","711.75","714.52","16,427,070"
02/06/2025,"705.88","718.90","703.50","711.99","13,080,690"
02/05/2025,"703.55","718.14","699.01","704.87","17,793,770"
