Date,Open,High,Low,Close,Volume
03/07/2025,"171.26","174.97","170.27","173.86","27,385,811"
03/06/2025,"170.53","174.81","170.50","172.35","28,301,949"
03/05/2025,"170.52","173.78","169.06","173.02","30,954,920"
03/04/2025,"166.24","173.29","165.80","170.92","45,388,000"
03/03/2025,"171.93","173.37","165.93","167.01","40,770,449"
02/28/2025,"168.68","170.61","166.77","170.28","48,130,566"
02/27/2025,"173.99","174.56","167.94","168.50","39,991,020"
02/26/2025,"175.07","176.08","171.58","172.73","35,431,273"
02/25/2025,"178.04","178.74","174.69","175.42","41,913,406"
02/24/2025,"181.99","183.12","178.89","179.25","29,854,211"
02/21/2025,"185.15","185.34","179.08","179.66","35,199,238"
02/20/2025,"184.80","185.31","182.72","184.56","20,441,461"
02/19/2025,"184.07","185.46","183.59","185.27","19,549,400"
02/18/2025,"185.60","185.96","181.74","183.77","29,916,680"
02/14/2025,"185.06","186.40","184.32","185.23","20,448,439"
02/13/2025,"184.32","186.28","183.14","186.14","21,402,520"
02/12/2025,"183.22","185.11","181.83","183.61","22,072,561"
02/11/2025,"185.03","186.94","184.28","185.32","21,239,520"
02/10/2025,"187.35","188.20","185.86","186.47","23,105,650"
02/07/2025,"191.05","191.18","183.24","185.34","49,314,961"
02/06/2025,"189.50","192.10","188.72","191.60","29,297,439"
02/05/2025,"191.07","192.75","188.03","191.33","70,461,766"
02/04/2025,"203.39","207.05","202.81","206.38","43,856,434"
02/03/2025,"200.69","203.75","200.10","201.23","27,838,350"
01/31/2025,"202.00","205.48","201.80","204.02","32,041,949"
01/30/2025,"198.00","201.40","197.67","200.87","24,354,680"
01/29/2025,"195.56","196.79","193.43","195.41","18,218,260"
01/28/2025,"192.75","195.48","190.68","195.30","24,157,930"
01/27/2025,"192.41","196.88","190.73","191.81","41,728,887"
01/24/2025,"198.10","200.90","198.00","200.21","23,877,520"
01/23/2025,"198.14","200.30","195.20","197.98","26,951,359"
01/22/2025,"199.06","200.48","197.53","198.37","26,200,619"
01/21/2025,"199.07","202.29","197.87","198.05","29,971,289"
01/17/2025,"196.53","197.23","193.75","196.00","27,735,090"
01/16/2025,"194.14","195.48","192.81","192.91","17,815,430"
01/15/2025,"193.09","196.36","191.86","195.55","21,775,971"
01/14/2025,"191.24","191.98","188.31","189.66","17,174,850"
01/13/2025,"190.07","191.18","187.36","191.01","21,823,699"
01/10/2025,"194.30","196.52","190.31","192.04","26,665,211"
01/08/2025,"192.57","196.29","192.38","193.95","24,864,770"
01/07/2025,"197.11","201.00","194.60","195.49","26,487,240"
01/06/2025,"193.98","198.22","193.85","196.87","29,563,641"
01/03/2025,"191.37","193.21","189.98","191.79","18,596,160"
01/02/2025,"190.65","192.00","187.50","189.43","20,370,830"
12/31/2024,"191.08","191.96","188.51","189.30","17,466,920"
12/30/2024,"189.80","192.55","189.12","191.24","14,264,660"
12/27/2024,"194.95","195.32","190.65","192.76","18,891,359"
12/26/2024,"195.15","196.75","194.38","195.60","12,057,210"
12/24/2024,"194.84","196.11","193.78","196.11","10,403,260"
12/23/2024,"192.62","195.10","190.15","194.63","25,675,010"
12/20/2024,"185.78","192.89","185.22","191.41","63,462,930"
12/19/2024,"191.63","193.03","188.38","188.51","32,265,240"
12/18/2024,"195.22","197.00","187.74","188.40","34,166,070"
12/17/2024,"197.25","201.42","194.98","195.42","43,504,031"
12/16/2024,"192.87","199.00","192.62","196.66","44,934,898"
12/13/2024,"191.01","192.73","189.64","189.82","25,143,500"
12/12/2024,"195.00","195.18","191.71","191.96","34,817,488"
12/11/2024,"185.31","195.61","184.85","195.40","67,894,070"
12/10/2024,"182.85","186.36","181.05","185.17","54,813,020"
12/09/2024,"173.96","176.26","173.65","175.37","25,389,631"
12/06/2024,"172.03","175.08","171.86","174.71","21,462,391"
12/05/2024,"175.36","176.06","172.33","172.64","21,356,240"
12/04/2024,"171.15","174.91","171.06","174.37","31,615,141"
12/03/2024,"171.49","172.68","170.85","171.34","22,248,711"
12/02/2024,"168.77","172.08","168.57","171.49","23,789,080"
11/29/2024,"168.50","169.43","167.16","168.95","14,257,240"
11/27/2024,"169.00","169.48","168.02","169.23","19,266,510"
11/26/2024,"167.63","169.82","167.58","169.12","20,486,721"
11/25/2024,"166.09","168.63","165.61","167.65","33,135,262"
11/22/2024,"165.85","166.46","163.90","164.76","38,604,594"
11/21/2024,"173.90","174.13","163.70","167.63","59,734,379"
11/20/2024,"177.34","177.68","173.78","175.98","18,997,109"
11/19/2024,"173.72","178.87","173.56","178.12","23,434,930"
11/18/2024,"173.42","175.44","172.90","175.30","20,206,609"
11/15/2024,"173.73","174.14","171.22","172.49","32,504,650"
11/14/2024,"178.28","178.82","174.32","175.58","31,007,461"
11/13/2024,"180.46","180.96","178.54","178.88","23,184,000"
11/12/2024,"179.82","182.49","179.39","181.62","25,134,910"
