Date,Open,High,Low,Close,Volume
03/07/2025,"392.32","394.80","385.54","393.31","22,034,090"
03/06/2025,"394.28","402.15","392.68","396.89","23,304,631"
03/05/2025,"389.34","401.67","388.81","401.02","23,433,131"
03/04/2025,"383.40","392.58","381.00","388.61","29,342,920"
03/03/2025,"398.82","398.82","386.16","388.49","23,007,730"
02/28/2025,"392.66","397.63","386.57","396.99","32,845,660"
02/27/2025,"401.27","405.74","392.17","392.53","21,127,410"
02/26/2025,"398.01","403.60","394.25","399.73","19,618,949"
02/25/2025,"401.10","401.92","396.70","397.90","29,387,400"
02/24/2025,"408.51","409.37","399.32","404.00","26,443,660"
02/21/2025,"417.34","418.05","407.89","408.21","27,524,801"
02/20/2025,"415.29","419.31","412.54","416.13","23,508,730"
02/19/2025,"407.88","415.49","407.65","414.77","24,114,199"
02/18/2025,"408.00","410.60","406.50","409.64","21,423,051"
02/14/2025,"407.79","408.91","405.88","408.43","22,758,461"
02/13/2025,"407.00","411.00","406.36","410.54","23,891,730"
02/12/2025,"407.21","410.75","404.37","409.04","19,121,730"
02/11/2025,"409.64","412.49","409.30","411.44","18,140,590"
02/10/2025,"413.71","415.46","410.92","412.22","20,817,920"
02/07/2025,"416.48","418.65","408.10","409.75","22,886,840"
02/06/2025,"414.00","418.20","414.00","415.82","16,309,760"
02/05/2025,"412.35","413.83","410.40","413.29","16,336,190"
02/04/2025,"412.69","413.92","409.74","412.37","20,532,100"
02/03/2025,"411.60","415.41","408.66","410.92","25,679,150"
01/31/2025,"418.98","420.69","414.91","415.06","34,223,391"
01/30/2025,"418.77","422.86","413.16","414.99","54,586,262"
01/29/2025,"446.69","446.88","440.40","442.33","23,581,369"
01/28/2025,"434.60","448.38","431.38","447.20","23,491,699"
01/27/2025,"424.01","435.20","423.50","434.56","35,647,809"
01/24/2025,"445.16","446.65","441.40","444.06","15,549,450"
01/23/2025,"442.00","446.75","441.50","446.71","18,389,270"
01/22/2025,"437.56","447.27","436.00","446.20","27,803,811"
01/21/2025,"430.20","430.90","425.60","428.50","26,085,699"
01/17/2025,"434.09","434.48","428.17","429.03","26,197,510"
01/16/2025,"428.70","429.49","424.39","424.58","15,300,020"
01/15/2025,"419.13","428.15","418.27","426.31","19,637,840"
01/14/2025,"417.81","419.74","410.72","415.67","16,935,859"
01/13/2025,"415.24","418.50","412.29","417.19","17,604,779"
01/10/2025,"424.63","424.71","415.02","418.95","20,201,131"
01/08/2025,"423.46","426.97","421.54","424.56","15,054,580"
01/07/2025,"429.00","430.65","420.80","422.37","18,139,070"
01/06/2025,"428.00","434.32","425.48","427.85","20,573,650"
01/03/2025,"421.08","424.03","419.54","423.35","16,662,939"
